編號,義項,語句編號,語句,語句TL,語句POJ,音檔,語句翻譯,語句翻譯POJ
8,15,1,買果子的錢，一人愛出一半。,"Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn.","Bé kóe-chí ê chîⁿ, chi̍t lâng ài chhut chi̍t-pòaⁿ.",8-1-1.mp3,買水果的錢，一人要出一半。,
8,16,1,塗跤一半擺仔無拭，袂偌垃圾啦！,"Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah!","Thô͘-kha chi̍t-pòaⁿ-pái-á bô chhit, bē gōa lah-sap--lah!",8-2-1.mp3,地板一兩次沒擦，不會多髒啦！,
9,17,1,有一半个仔人客真𠢕嫌東嫌西。,Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai.,Ū chi̍t-pòaⁿ-ê-á lâng-kheh chin gâu hiâm-tang-hiâm-sai.,9-1-1.mp3,有一兩個客人很會嫌東嫌西。,
10,18,1,頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn.","Thâu-ke lâng chin hó, góa chi̍t-pòaⁿ-ji̍t-á bô khì, i mā bē án-chóaⁿ.",10-1-1.mp3,老闆人真好，我一兩天沒去，他也不會怎樣。,
11,19,1,物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè.,Mi̍h-kiāⁿ m̄-thang iā kah chi̍t-sì-kè.,11-1-1.mp3,東西不要撒得滿地都是。,
12,20,1,一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó.","It-tàn tē-tāng, hit keng chhù tō ē tó.",12-1-1.mp3,一旦地震，那間房子就會倒。,
12,21,1,毀於一旦,huí î it-tàn,húi î it-tàn,12-2-1.mp3,毀於一旦,
13,22,1,你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing.,Lí m̄-thang hòng-tōng kòe it-seng.,13-1-1.mp3,你不要放蕩過一生。,
13,22,2,做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng.,Chò kàu-siū sī góa it-seng ê goān-bōng.,13-1-2.mp3,當教授是我一生的願望。,
14,24,1,對阮厝到公司，行路一目𥍉仔就到矣。,"Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah.","Tùi goán chhù kàu kong-si, kiâⁿ-lō͘ chi̍t-ba̍k-nih-á tō kàu--ah.",14-1-1.mp3,從我家裡到公司，走路只要一眨眼的時間就可以到了。,
14,24,2,一目𥍉仔大學四年就過去矣。,Tsi̍t-ba̍k-nih-á tāi-ha̍k sì nî tō kuè--khì--ah.,Chi̍t-ba̍k-nih-á tāi-ha̍k sì nî tō kòe--khì--ah.,14-1-2.mp3,一轉眼大學四年就過去了。,
17,27,1,一來我無時間，二來我無興趣，所以我無欲參加。,"It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, sóo-í guá bô beh tsham-ka.","It--lâi góa bô sî-kan, jī--lâi góa bô hèng-chhù, só͘-í góa bô beh chham-ka.",17-1-1.mp3,一來我沒時間，二來我沒興趣，所以我沒有要參加。,
18,28,1,你講過的話，一定愛會記得。,"Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit.","Lí kóng--kòe ê ōe, it-tēng ài ē-kì--tit.",18-1-1.mp3,你說過的話一定要記得。,
18,29,1,伊食飯攏無一定的時間。,I tsia̍h-pn̄g lóng bô it-tīng ê sî-kan.,I chia̍h-pn̄g lóng bô it-tēng ê sî-kan.,18-2-1.mp3,他吃飯時間不固定。,
19,30,1,一直向前行，毋免轉斡。,"It-ti̍t hiòng-tsiân kiânn, m̄-bián tńg-uat.","It-ti̍t hiòng-chiân kiâⁿ, m̄-bián tńg-oat.",19-1-1.mp3,一直向前走過去，不用轉彎。,
19,31,1,阿美一直咧掃塗跤，攏無歇睏。,"A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn.","A-bí it-ti̍t teh sàu thô͘-kha, lóng bô hioh-khùn.",19-2-1.mp3,阿美一直在掃地，都沒有休息。,
20,32,1,伊對伊的學生一律攏真嚴格。,I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh.,I tùi i ê ha̍k-seng it-lu̍t lóng chin giâm-keh.,20-1-1.mp3,他對他的學生一律都很嚴格。,
21,33,1,伊佮我的看法並無一致。,I kah guá ê khuànn-huat pīng bô it-tì.,I kah góa ê khòaⁿ-hoat pēng bô it-tì.,21-1-1.mp3,他跟我的看法並不一致。,
22,34,1,伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh.","I chi̍t-bīn chò-kang, chi̍t-bīn tha̍k-chheh.",22-1-1.mp3,他一邊工作，一邊讀書。,
22,35,1,一面抹壁雙面光。,Tsi̍t-bīn buah-piah siang-bīn kng.,Chi̍t-bīn boah-piah siang-bīn kng.,22-2-1.mp3,用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。,
24,37,1,伊食一屑仔飯爾爾。,I tsia̍h tsi̍t-sut-á pn̄g niā-niā.,I chia̍h chi̍t-sut-á pn̄g niā-niā.,24-1-1.mp3,他吃一點點飯而已。,
25,38,1,𪜶一家伙仔對人攏真客氣。,In tsi̍t-ke-hué-á tuì lâng lóng tsin kheh-khì.,In chi̍t-ke-hóe-á tùi lâng lóng chin kheh-khì.,25-1-1.mp3,他們一家子對人都很客氣。,
26,39,1,一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú.,It-poaⁿ lâng lóng chin ài bīn-chú.,26-1-1.mp3,一般人都很愛面子。,
27,40,1,這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê.,Chit pái beh thè i khui-to ê i-seng lóng sī it-lia̍p-it--ê.,27-1-1.mp3,這次為他開刀的醫生都是最好的。,
27,41,1,阿英佮我是一粒一的好朋友。,A-ing kah guá sī it-lia̍p-it ê hó-pîng-iú.,A-eng kah góa sī it-lia̍p-it ê hó-pêng-iú.,27-2-1.mp3,阿英和我是最要好的朋友。,
28,42,1,伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò-liáu--ah.","I kha-chhiú chin kín, sit-thâu chi̍t-khùn-á tō chò-liáu--ah.",28-1-1.mp3,他的動作真快，工作一下子就做完了。,
28,43,1,遮的物件伊做一睏仔共伊食了。,Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu.,Chia ê mi̍h-kiāⁿ i chò chi̍t-khùn-á kā i chia̍h-liáu.,28-2-1.mp3,這裡的東西他一口氣把它吃完。,
29,44,1,眾人的意見伊一概反對。,Tsìng-lâng ê ì-kiàn i it-khài huán-tuì.,Chèng-lâng ê ì-kiàn i it-khài hoán-tùi.,29-1-1.mp3,眾人的意見他一概反對。,
30,45,1,祝恁一路平安。,Tsiok lín tsi̍t-lōo pîng-an.,Chiok lín chi̍t-lō͘ pêng-an.,30-1-1.mp3,祝福你們一路平安。,
31,46,1,加減食一寡。,Ke-kiám tsia̍h--tsi̍t-kuá.,Ke-kiám chia̍h--chi̍t-kóa.,31-1-1.mp3,多少吃一點。,
32,47,1,猶有一寡仔物件無整理。,Iáu-ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí.,Iáu-ū chi̍t-kóa-á mi̍h-kiāⁿ bô chéng-lí.,32-1-1.mp3,還有一些東西沒整理。,
33,48,1,藥仔食落去，到今一對時矣。,"Io̍h-á tsia̍h--lo̍h-khì, kàu-tann tsi̍t tuì-sî--ah.","Io̍h-á chia̍h--lo̍h-khì, kàu-taⁿ chi̍t tùi-sî--ah.",33-1-1.mp3,藥吃下，到現在二十四小時了。,
34,49,1,伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah.,I lâi chi̍t-tiap-á-kú tō tńg--khì--ah.,34-1-1.mp3,他來一下子就回去了。,
35,50,1,你才食一點仔物件哪會飽？,Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá?,Lí chiah chia̍h chi̍t-tiám-á mi̍h-kiāⁿ ná ē pá?,35-1-1.mp3,你才吃一點點東西怎麼會飽？,
38,54,1,甲乙丙丁,kah it piánn ting,kah it piáⁿ teng,38-1-1.mp3,甲乙丙丁,
38,55,1,乙等,it tíng,it téng,38-2-1.mp3,乙等,
39,56,1,甲乙丙丁,kah it piánn ting,kah it piáⁿ teng,39-1-1.mp3,甲乙丙丁,
39,57,1,出丁,tshut-ting,chhut-teng,39-2-1.mp3,生男孩子,
40,59,1,七个人,tshit ê lâng,chhit ê lâng,40-1-1.mp3,七個人,
40,60,1,七老八老,tshit-lāu-peh-lāu,chhit-lāu-peh-lāu,40-2-1.mp3,強調很老,
40,60,2,七除八扣,tshit-tû-peh-khàu,chhit-tû-peh-khàu,40-2-2.mp3,計算時一再折扣，自總數中盡量減除。,
41,63,1,十喙九尻川。,Tsa̍p tshuì káu kha-tshng.,Cha̍p chhùi káu kha-chhng.,41-2-1.mp3,形容人多嘴雜。,
42,64,1,三教九流,sam-kàu-kiú-liû,sam-kàu-kiú-liû,42-1-1.mp3,三教九流,
43,65,1,飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí.,Pn̄g chia̍h-liáu chiah chia̍h kóe-chí.,43-1-1.mp3,飯吃完再吃水果。,
43,66,1,了解,liáu-kái,liáu-kái,43-2-1.mp3,了解,
43,67,1,了力,liáu-la̍t,liáu-la̍t,43-3-1.mp3,白費力氣,
43,67,2,了工,liáu-kang,liáu-kang,43-3-2.mp3,白費功夫,
43,68,1,了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò.,Liáu-chîⁿ seng-lí bô lâng chò.,43-4-1.mp3,賠錢生意沒人做。,
43,69,1,講了真清楚。,Kóng liáu tsin tshing-tshó.,Kóng liáu chin chheng-chhó.,43-5-1.mp3,說得很清楚。,
43,69,2,洗了無清氣。,Sé liáu bô tshing-khì.,Sé liáu bô chheng-khì.,43-5-2.mp3,洗得不乾淨。,
44,70,1,第二,tē-jī,tē-jī,44-1-1.mp3,第二,
45,71,1,人類,jîn-luī,jîn-lūi,45-1-1.mp3,人類,
45,72,1,人情,jîn-tsîng,jîn-chêng,45-2-1.mp3,人情,
45,72,2,人事,jîn-sū,jîn-sū,45-2-2.mp3,人事,
45,73,1,聖人,sìng-jîn,sèng-jîn,45-3-1.mp3,聖人,
45,73,2,軍人,kun-jîn,kun-jîn,45-3-2.mp3,軍人,
46,74,1,做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò lâng tio̍h buâ.","Chò gû tio̍h thoa, chò lâng tio̍h bôa.",46-1-1.mp3,做牛得要拖犁耕田，做人得受生活的折磨。,
46,75,1,莫共人講！,Mài kā lâng kóng!,Mài kā lâng kóng!,46-2-1.mp3,不要跟別人說！,
46,75,2,予人看無,hōo lâng khuànn-bô,hō͘ lâng khòaⁿ-bô,46-2-2.mp3,讓別人瞧不起,
46,76,1,好人,hó-lâng,hó-lâng,46-3-1.mp3,好人,
46,76,2,讀冊人,tha̍k-tsheh-lâng,tha̍k-chheh-lâng,46-3-2.mp3,讀書人,
46,76,3,中人,tiong-lâng,tiong-lâng,46-3-3.mp3,仲介者,
46,77,1,人毋管啦！,Lâng m̄-kuán--lah!,Lâng m̄-koán--lah!,46-4-1.mp3,我不管啦！,
46,78,1,伊人真好。,I lâng tsin hó.,I lâng chin hó.,46-5-1.mp3,他待人很好。,
46,78,2,人無爽快,lâng bô sóng-khuài,lâng bô sóng-khoài,46-5-2.mp3,身體不舒服,
47,79,1,入去,ji̍p--khì,ji̍p--khì,47-1-1.mp3,進去,
47,79,2,入來,ji̍p--lâi,ji̍p--lâi,47-1-2.mp3,進來,
47,80,1,入被,ji̍p phuē,ji̍p phōe,47-2-1.mp3,把被子裝進被套裡,
47,81,1,收入,siu-ji̍p,siu-ji̍p,47-3-1.mp3,收入,
47,81,2,入數,ji̍p siàu,ji̍p siàu,47-3-2.mp3,入帳,
48,82,1,三八婦女節,Sam-pat Hū-lí-tseh,Sam-pat Hū-lí-cheh,48-1-1.mp3,三八婦女節,
49,83,1,八个人,peh ê lâng,peh ê lâng,49-1-1.mp3,八個人,
50,84,1,鉸刀,ka-to,ka-to,50-1-1.mp3,剪刀,
50,85,1,伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to.,I cha-mê khì hō͘ lâng thâi kúi-nā to.,50-2-1.mp3,他昨晚被人砍了好幾刀。,
50,86,1,伊欲買一刀紙。,I beh bé tsi̍t to tsuá.,I beh bé chi̍t to chóa.,50-3-1.mp3,他想買一刀紙。,
51,87,1,𪜶頭家真𠢕共人刁。,In thâu-ke tsin gâu kā lâng tiau.,In thâu-ke chin gâu kā lâng tiau.,51-1-1.mp3,他們的老闆很會為難人。,
51,88,1,刁故意,tiau-kòo-ì,tiau-kò͘-ì,51-2-1.mp3,故意,
51,88,2,刁工,tiau-kang,tiau-kang,51-2-2.mp3,故意,
52,89,1,無力,bô-la̍t,bô-la̍t,52-1-1.mp3,沒有力氣,
52,89,2,氣力,khuì-la̍t,khùi-la̍t,52-1-2.mp3,力氣,
53,90,1,力量,li̍k-liōng,le̍k-liōng,53-1-1.mp3,力量,
53,91,1,財力,tsâi-li̍k,châi-le̍k,53-2-1.mp3,財力,
53,91,2,兵力,ping-li̍k,peng-le̍k,53-2-2.mp3,兵力,
54,92,1,十个人,tsa̍p ê lâng,cha̍p ê lâng,54-1-1.mp3,十個人,
54,93,1,十喙九尻川,tsa̍p-tshuì káu kha-tshng,cha̍p-chhùi káu kha-chhng,54-2-1.mp3,人多嘴雜,
55,94,1,十五音,si̍p-ngóo-im,si̍p-ngó͘-im,55-1-1.mp3,十五音,
55,94,2,十八仔,si̍p-pat-á,si̍p-pat-á,55-1-2.mp3,骰子,
55,95,1,十全十美,si̍p-tsuân-si̍p-bí,si̍p-choân-si̍p-bí,55-2-1.mp3,十分的完美,
55,96,1,十字路,si̍p-jī-lōo,si̍p-jī-lō͘,55-3-1.mp3,十字路口,
55,96,2,紅十字會,Âng-si̍p-jī-huē,Âng-si̍p-jī-hōe,55-3-2.mp3,國際救援組織,
56,97,1,卜看覓咧！,Poh khuànn-māi--leh!,Poh khòaⁿ-māi--leh!,56-1-1.mp3,試試看囉！,
57,98,1,我來卜一下仔卦咧。,Guá lâi pok tsi̍t-ē-á kuà--leh.,Góa lâi pok chi̍t-ē-á kòa--leh.,57-1-1.mp3,我來卜一下卦。,
58,99,1,食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi!","Chia̍h iū beh chia̍h, sit iū m̄ chò, chin hāi!",58-1-1.mp3,吃又要吃，工作又不肯做，真糟糕！,
60,101,1,鳥鼠予貓掠了了矣。,Niáu-tshí hōo niau lia̍h-liáu-liáu--ah.,Niáu-chhí hō͘ niau lia̍h-liáu-liáu--ah.,60-1-1.mp3,老鼠被貓抓光光了。,
61,102,1,這个袂使，彼个毋通，專你的意見了了。,"Tsit ê bē-sái, hit ê m̄-thang, tsuan lí ê ì-kiàn--liáu-liáu.","Chit ê bē-sái, hit ê m̄-thang, choan lí ê ì-kiàn--liáu-liáu.",61-1-1.mp3,這個不行，那個不可以，你的意見真多。,
62,103,1,恁新婦人人呵咾。,Lín sin-pū lâng-lâng o-ló.,Lín sin-pū lâng-lâng o-ló.,62-1-1.mp3,你媳婦人人稱讚。,
63,104,1,十二分的感謝,tsa̍p-jī-hun ê kám-siā,cha̍p-jī-hun ê kám-siā,63-1-1.mp3,萬分感謝,
64,106,1,時機誠䆀，害我十二生相變透透嘛變無撚。,"Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián.","Sî-ki chiâⁿ bái, hāi góa cha̍p-jī seⁿ-siùⁿ piàn-thàu-thàu mā piàn-bô-lián.",64-2-1.mp3,時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。,
66,108,1,二九暝家家戶戶攏咧圍爐。,Jī-káu-mê ke-ke-hōo-hōo lóng teh uî-lôo.,Jī-káu-mê ke-ke-hō͘-hō͘ lóng teh ûi-lô͘.,66-1-1.mp3,農曆新年除夕晚上家家戶戶都在圍爐。,
68,110,1,查某囡仔十八變。,Tsa-bóo gín-á tsa̍p-peh-piàn.,Cha-bó͘ gín-á cha̍p-peh-piàn.,68-1-1.mp3,女大十八變。,
70,112,1,了工閣蝕本。,Liáu-kang koh si̍h-pún.,Liáu-kang koh si̍h-pún.,70-1-1.mp3,白費工夫又賠錢。比喻賠了夫人又折兵。,
71,113,1,割稻仔的人工愈濟就愈緊割了。,Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu.,Koah-tiū-á ê lâng-kang jú chē tō jú kín koah-liáu.,71-1-1.mp3,越多人割稻就越快完工。,
71,114,1,臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì.,Tâi-oân hiān-chhú-sî ê lâng-kang chin kùi.,71-2-1.mp3,臺灣現在的工資很貴。,
72,115,1,恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái.,Lín kiáⁿ-sài ê lâng-châi seⁿ-chò bē-bái.,72-1-1.mp3,你女婿外表長得不錯。,
73,116,1,入土為安,ji̍p-thóo uî an,ji̍p-thó͘ ûi an,73-1-1.mp3,入土為安,
74,117,1,我刁工來看你。,Guá thiau-kang lâi khuànn--lí.,Góa thiau-kang lâi khòaⁿ--lí.,74-1-1.mp3,我專程來看你。,
74,118,1,你愈講，伊愈刁工。,"Lí jú kóng, i jú thiau-kang.","Lí jú kóng, i jú thiau-kang.",74-2-1.mp3,你越說，他越是故意和你唱反調。,
75,119,1,算命的講，人中長的人較長歲壽。,"Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū.","Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-hòe-siū.",75-1-1.mp3,算命的說，人中長的人壽命比較長。,
76,120,1,人有七孔。,Lâng ū tshit-khóng.,Lâng ū chhit-khóng.,76-1-1.mp3,人有七竅。,
78,122,1,伊是二手，毋是頭手。,"I sī jī-tshiú, m̄ sī thâu-tshiú.","I sī jī-chhiú, m̄ sī thâu-chhiú.",78-1-1.mp3,他是助手，不是師傅。,
78,123,1,物件買二手的較俗。,Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k.,Mi̍h-kiāⁿ bé jī-chhiú--ê khah sio̍k.,78-2-1.mp3,東西買中古的比較便宜。,
80,125,1,八仙綵,pat-sian-tshái,pat-sian-chhái,80-1-1.mp3,繡有八仙的紅彩，在喜慶時掛在門楣上,
84,129,1,你莫共伊刁古董。,Lí mài kā i tiau-kóo-tóng.,Lí mài kā i tiau-kó͘-tóng.,84-1-1.mp3,你不要為難他。,
85,130,1,伊一禮拜至少愛賣三百个，才袂了本。,"I tsi̍t lé-pài tsì-tsió ài bē sann-pah ê, tsiah bē liáu-pún.","I chi̍t lé-pài chì-chió ài bē saⁿ-pah ê, chiah bē liáu-pún.",85-1-1.mp3,他一星期至少要賣三百個，才不會虧本。,
87,132,1,人生短短仔,jîn-sing té-té--á,jîn-seng té-té--á,87-1-1.mp3,人生苦短,
88,133,1,刀石提來磨刀仔。,To-tsio̍h the̍h-lâi buâ to-á.,To-chio̍h the̍h-lâi bôa to-á.,88-1-1.mp3,磨刀石拿來磨刀子。,
89,134,1,媠，媠無十全；䆀，䆀無加圇。,"Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g.","Súi, súi bô cha̍p-chn̂g; bái, bái bô ka-nn̂g.",89-1-1.mp3,人不會是十全十美的。,
90,135,1,十全大補湯,si̍p-tsuân tāi póo-thng,si̍p-choân tāi pó͘-thng,90-1-1.mp3,合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。,
90,136,1,十全十美,si̍p-tsuân-si̍p-bí,si̍p-choân-si̍p-bí,90-2-1.mp3,十全十美,
91,137,1,算命仙的講𪜶兩人的八字袂合。,Sǹg-miā-sian--ê kóng in nn̄g lâng ê peh-jī bē ha̍h.,Sǹg-miā-sian--ê kóng in nn̄g lâng ê peh-jī bē ha̍h.,91-1-1.mp3,算命先生說他們兩人的八字不合。,
96,143,1,七早八早，你就想欲歇睏？,"Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn?","Chhit-chá-peh-chá, lí tō siūⁿ-beh hioh-khùn?",96-2-1.mp3,時間還早，你就想休息？,
97,144,1,你講閣較濟伊嘛聽袂入耳。,Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní.,Lí kóng koh-khah chē i mā thiaⁿ bē ji̍p-ní.,97-1-1.mp3,你說再多他也聽不進去。,
99,146,1,食甲七老八老矣，猶閣毋認老。,"Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn-lāu.","Chia̍h kah chhit-lāu-peh-lāu--ah, iáu-koh m̄ jīn-lāu.",99-1-1.mp3,活到七老八十了，還不認老。,
100,147,1,你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn.","Lí tio̍h khah phah-piàⁿ--leh, m̄-thang chò liáu-bóe-á-kiáⁿ.",100-1-1.mp3,你要更努力一點，不要做敗家子。,
101,148,1,講著種花伊閣有二步七仔！,Kóng-tio̍h tsìng hue i koh ū--jī-pōo-tshit-á!,Kóng-tio̍h chèng hoe i koh ū--jī-pō͘-chhit-á!,101-1-1.mp3,說到種花他還有點能耐！,
103,150,1,睏飽了後，氣力十足。,"Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok.","Khùn-pá liáu-āu, khùi-la̍t cha̍p-chiok.",103-1-1.mp3,一覺睡醒之後，全身都充滿了活力。,
104,151,1,九芎仔柴,kiú-kiong-á-tshâ,kiú-kiong-á-chhâ,104-1-1.mp3,九芎樹,
105,152,1,人事室,jîn-sū-sik,jîn-sū-sek,105-1-1.mp3,管理機關人員的辦公處所,
105,153,1,盡人事順天意。,Tsīn jîn-sū sūn thinn-ì.,Chīn jîn-sū sūn thiⁿ-ì.,105-2-1.mp3,盡人事聽天命。,
105,154,1,過年時仔伊會用外國酒來做人事。,Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū.,Kòe-nî-sî-á i ē ēng gōa-kok chiú lâi chò jîn-sū.,105-3-1.mp3,過年的時候他會用外國酒來做公關。,
108,158,1,陳家二房的囝孫仔攏真老實。,Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t.,Tân--ka jī-pâng ê kiáⁿ-sun-á lóng chin láu-si̍t.,108-1-1.mp3,陳家二房的子孫都很老實。,
109,159,1,大人物,tuā-jîn-bu̍t,tōa-jîn-bu̍t,109-1-1.mp3,有地位有名望的人,
110,160,1,十花五色的人,tsa̍p-hue-gōo-sik ê lâng,cha̍p-hoe-gō͘-sek ê lâng,110-1-1.mp3,形形色色的人,
111,161,1,我今仔入門，電話就來矣。,"Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah.","Góa taⁿ-á ji̍p-mn̂g, tiān-ōe tō lâi--ah.",111-1-1.mp3,我剛進門，電話就來了。,
111,162,1,我想欲趕緊共你娶入門。,Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g.,Góa siūⁿ-beh kóaⁿ-kín kā lí chhōa ji̍p-mn̂g.,111-2-1.mp3,我想要趕快將你娶進門。,
111,163,1,學音樂，我拄入門。,"O̍h im-ga̍k, guá tú ji̍p-mn̂g.","O̍h im-ga̍k, góa tú ji̍p-mn̂g.",111-3-1.mp3,學音樂，我才剛剛入門。,
111,164,1,哲學入門,tiat-ha̍k ji̍p-mn̂g,tiat-ha̍k ji̍p-mn̂g,111-4-1.mp3,哲學入門,
112,165,1,咱愛好好仔招待人客。,Lán ài hó-hó-á tsiau-thāi lâng-kheh.,Lán ài hó-hó-á chiau-thāi lâng-kheh.,112-1-1.mp3,我們要好好招呼客人。,
112,165,2,店內人客真濟。,Tiàm-lāi lâng-kheh tsin tsē.,Tiàm-lāi lâng-kheh chin chē.,112-1-2.mp3,店裡顧客很多。,
113,166,1,你出門了後，伊就醒矣。,"Lí tshut-mn̂g liáu-āu, i tō tshénn--ah.","Lí chhut-mn̂g liáu-āu, i tō chhéⁿ--ah.",113-1-1.mp3,你出去之後，他就醒了。,
114,167,1,七星陣,tshit-tshenn-tīn,chhit-chheⁿ-tīn,114-1-1.mp3,依照北斗七星排列所設的陣式,
